style,ISc2,GC_S,GC_P,GC_C,gender,age,birth,ethnic,religion,school,class,major,firstlang,secondlang,intl_travel,s_abroad,travel,studyabroad
1,89,26,23,38,F,TRAD,US,WHITE,Christian,2,Undergraduate,Eled,ENGLISH,2,3,,TwoFour,0
1,99,26,20,35,F,TRAD,NON-US,NON-WHITE,Christian,2,Undergraduate,Eled,NON-ENGLISH,2,3,,TwoFour,0
1,74,14,21,33,F,TRAD,US,WHITE,Christian,2,Undergraduate,Eled,ENGLISH,1,3,,TwoFour,0
1,93,25,26,47,F,TRAD,US,WHITE,Christian,2,Undergraduate,SpEd,ENGLISH,1,1,,Never,0
1,78,9,24,27,F,TRAD,US,WHITE,Christian,2,Undergraduate,Eled,ENGLISH,1,1,,Never,0
1,87,14,22,23,F,TRAD,US,WHITE,Christian,10,Undergraduate,Other,ENGLISH,1,1,,Never,0
1,90,19,25,39,F,TRAD,US,WHITE,Christian,10,Graduate,Other,ENGLISH,1,2,,Once,0
1,86,16,24,31,F,TRAD,US,NON-WHITE,Christian,10,Undergraduate,Eled,ENGLISH,1,4,,FiveSeven,0
1,96,20,26,46,F,TRAD,US,NON-WHITE,Christian,10,Undergraduate,Eled,ENGLISH,1,3,,TwoFour,0
1,71,9,19,25,F,TRAD,US,WHITE,Non-Christian,9,Undergraduate,Eled,ENGLISH,1,3,1,TwoFour,1
1,101,17,27,39,M,TRAD,US,NON-WHITE,Christian,9,Undergraduate,Secondary,ENGLISH,2,2,,Once,0
1,97,29,21,46,M,TRAD,US,NON-WHITE,Non-Christian,9,Graduate,Secondary,NON-ENGLISH,2,4,,FiveSeven,0
1,107,23,27,42,F,TRAD,NON-US,WHITE,Non-Christian,9,Undergraduate,Other,NON-ENGLISH,2,5,,Eight_plus,0
1,90,17,23,40,F,TRAD,US,WHITE,Christian,9,Undergraduate,Other,ENGLISH,1,1,,Never,0
1,63,13,24,30,F,TRAD,US,WHITE,Christian,9,Undergraduate,Secondary,ENGLISH,1,2,,Once,0
1,86,24,27,40,M,TRAD,US,WHITE,Christian,9,Undergraduate,SpEd,ENGLISH,1,2,1,Once,1
1,89,18,26,36,F,NON-TRAD,US,WHITE,Christian,10,Graduate,SpEd,ENGLISH,1,3,,TwoFour,0
1,92,15,21,33,F,TRAD,US,WHITE,Christian,10,Undergraduate,Eled,ENGLISH,1,1,,Never,0
1,90,14,27,32,F,TRAD,US,WHITE,Christian,9,Undergraduate,Other,ENGLISH,1,3,,TwoFour,0
1,85,16,25,40,F,NON-TRAD,US,WHITE,Christian,10,Graduate,SpEd,ENGLISH,1,3,,TwoFour,0
1,101,18,29,40,F,TRAD,US,WHITE,Christian,9,Undergraduate,Eled,ENGLISH,1,3,,TwoFour,0
1,99,19,23,42,F,NON-TRAD,US,WHITE,Christian,9,Undergraduate,Eled,ENGLISH,1,1,,Never,0
1,96,18,29,40,F,TRAD,US,WHITE,Christian,2,Undergraduate,SpEd,ENGLISH,1,3,,TwoFour,0
1,72,14,21,31,F,TRAD,US,WHITE,Christian,10,Undergraduate,Other,ENGLISH,1,2,1,Once,1
1,73,20,24,25,F,TRAD,US,NON-WHITE,Christian,10,Graduate,Eled,ENGLISH,2,1,,Never,0
1,80,21,19,34,F,NON-TRAD,US,WHITE,Christian,9,Graduate,Secondary,NON-ENGLISH,2,4,,FiveSeven,0
1,92,18,21,29,F,NON-TRAD,US,NON-WHITE,Christian,10,Graduate,Other,ENGLISH,1,1,,Never,0
1,105,33,26,48,F,TRAD,US,NON-WHITE,Non-Christian,9,Undergraduate,Secondary,ENGLISH,2,3,1,TwoFour,1
1,73,18,24,32,F,NON-TRAD,US,WHITE,Christian,9,Undergraduate,SpEd,ENGLISH,1,3,,TwoFour,0
1,90,28,27,48,F,TRAD,US,NON-WHITE,Christian,9,Undergraduate,Secondary,NON-ENGLISH,1,2,,Once,0
