University,Year,Class,ID,IS1,IS2,IS3,IS4,IS5,IS6,IS7,IS8,IS9,IS10,IS11,IS12,IS13,IS14,IS15,IS16,IS17,IS18,IS19,IS20,IS21,IS22,IS23,IS24,IS25,GC1,GC2,GC3,GC4,GC5,GC6,GC7,GC8,GC9,GC10,GC11,GC12,GC13,GC14,GC15,GC16,GC17,GC18,GC19,GC20,GC21,GC22,GC23,GC24,gender,age,japan_citizen,other_citizen,ethnicity,ethnicity_text,religion,religion_txt,undergrad_grad,class_year,class_year_txt,major,faculty,firstlang,firstlang_txt,secondlang,secondlang_txt,SecondLang_Proficiency,SecondLang_Frequency,SecondLang_Frequency_txt,International_Travel_Count,Travel_Purpose,Travel_Purpose_txt,Notes
K,3,1,1,2,1,2,4,2,3,2,3,4,2,2,3,3,1,2,4,2,1,5,3,3,3,1,2,4,4,3,4,3,2,1,1,1,2,1,1,1,2,1,1,1,2,2,1,2,1,3,1,4,1,21,1,,1,,1,,1,3,,学校教育学類数学専修,Education,1,,0,,,,,1,2,,
K,3,1,2,3,2,2,4,3,1,1,1,5,2,2,4,3,2,3,3,1,1,4,1,2,4,1,4,2,2,3,3,4,2,3,3,1,3,2,1,2,2,4,2,1,3,3,2,3,1,5,1,4,1,21,1,,1,,6,,1,3,,学校教育，理科,Education,1,,0,,,,,3,"2,5",高校の学校交流の研修,
K,3,1,3,2,1,2,1,2,2,4,1,1,2,2,4,3,4,4,4,1,1,5,2,4,2,1,5,1,3,1,3,5,4,4,5,2,5,3,3,2,2,3,1,1,4,3,3,2,3,5,1,2,1,20,1,,1,,6,,1,3,,学校教育　英語教育,Education,1,,1,英語,2,2,,1,1,,
K,3,1,4,2,1,3,5,3,2,4,2,5,2,4,3,3,1,4,4,4,1,4,2,4,3,1,5,1,4,2,5,5,4,2,2,2,2,2,1,3,3,1,1,1,5,5,2,4,2,5,2,5,2,21,1,,1,,1,,1,3,,学校教育学類　社会科専修,Education,1,,0,,,,,0,,,
K,3,1,5,2,1,3,4,4,2,3,2,3,1,3,4,3,3,3,4,1,1,2,1,3,3,1,4,5,3,2,4,4,4,2,2,3,4,3,1,3,3,5,2,1,5,3,2,2,3,5,3,2,2,21,1,,1,,1,,1,3,,学校教育　英語教育専修,Education,1,,1,英語,2,1,,3,1,,
K,3,1,6,1,2,3,5,3,2,3,1,5,5,4,3,2,4,5,3,2,1,2,2,1,2,5,5,5,4,2,5,5,5,5,3,2,4,5,4,5,5,5,5,1,5,5,4,5,5,5,3,5,1,22,1,,1,,5,神道,1,3,,学校教育学類　教育基礎専修（英語）,Education,1,,1,英語,2,1,,3,"1,2,4",,
K,3,1,7,2,1,3,4,4,2,3,4,4,2,2,4,3,3,4,3,3,1,4,2,4,3,1,4,5,4,3,3,4,2,3,2,3,4,4,1,3,3,1,1,1,4,4,4,4,4,4,2,3,2,20,1,,1,,0,,1,3,,学校教育学類　理科,Education,1,,1,英語,2,6,,0,,,
K,3,1,8,2,2,3,5,4,2,2,1,5,3,2,4,3,2,2,2,2,1,4,2,2,3,1,4,1,3,2,4,4,3,3,2,2,3,2,1,1,2,3,1,1,4,2,3,4,2,4,2,3,1,21,1,,1,,1,,1,3,,学校教育，家政,Education,1,,0,,,,,2,2,,
K,3,1,9,3,2,2,4,2,2,3,2,3,2,2,3,3,2,2,4,2,1,3,2,2,3,1,3,3,3,2,4,3,2,2,2,1,3,2,1,1,2,1,1,1,3,3,2,3,1,4,1,1,1,21,1,,1,,6,,1,3,,学校教育学類　数学教育専修,Education,1,,0,,,,,1,5,高校の修学旅行,
K,3,1,10,2,2,3,4,4,3,2,1,4,3,2,3,2,2,4,3,3,1,3,2,2,3,2,4,2,3,2,2,5,3,2,2,2,3,2,1,2,3,4,1,1,3,3,5,5,2,4,1,2,1,20,1,,1,,6,,1,3,,学校教育学類　音楽教育専修,Education,1,,1,英語,3,2,,1,5,高校の修学旅行,
